Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.00,0.01,0.00,0.19,0.01,9.83,0,0,0
1,0.00,0.01,0.00,0.13,-0.05,9.95,0,0,0
2,0.00,0.01,0.00,0.08,-0.05,9.88,0,0,0
3,0.00,0.01,0.00,0.14,0.05,9.92,0,0,0
4,-0.00,0.00,0.00,0.07,0.03,9.92,0,0,0
5,-0.01,0.01,0.00,0.12,-0.03,9.86,0,0,0
6,-0.01,0.00,0.00,0.09,-0.11,9.84,0,0,0
7,-0.01,0.00,0.01,0.07,-0.09,9.80,0,0,0
8,-0.01,0.01,0.01,0.06,-0.18,9.74,0,0,0
9,-0.01,0.01,0.01,0.05,-0.19,9.75,0,0,0
10,-0.00,0.01,0.01,0.10,-0.24,9.84,0,0,0
11,-0.00,0.01,0.00,0.09,-0.30,9.74,0,0,0
12,0.00,0.01,0.01,0.06,-0.25,9.80,0,0,0
13,0.01,0.01,0.00,0.05,-0.28,9.93,0,0,0
14,0.01,0.01,0.00,0.02,-0.27,9.93,0,0,0
15,0.01,0.00,0.00,0.04,-0.12,9.85,0,0,0
16,0.01,0.00,0.00,0.07,0.04,9.82,0,0,0
17,0.00,0.00,0.00,0.08,0.05,9.85,0,0,0
18,0.00,0.00,0.01,0.11,0.09,9.88,0,0,0
19,-0.01,0.01,0.00,0.07,-0.03,9.87,0,0,0
20,-0.00,0.00,0.00,0.07,-0.07,9.87,0,0,0
21,-0.01,0.00,0.00,0.10,-0.13,9.78,0,0,0
22,-0.00,0.01,0.00,0.06,-0.17,9.80,0,0,0
23,-0.00,0.01,0.00,0.07,-0.18,9.71,0,0,0
24,0.00,0.01,0.00,0.02,-0.22,9.92,0,0,0
25,0.01,0.00,0.01,0.10,-0.16,9.90,0,0,0
26,0.00,0.00,0.01,0.09,-0.11,9.85,0,0,0
27,0.00,-0.00,0.00,0.11,-0.10,9.88,0,0,0
28,0.01,0.00,0.00,0.16,-0.10,9.84,0,0,0
29,0.01,0.01,0.00,0.18,-0.03,9.83,0,0,0
30,0.00,0.02,0.01,0.08,-0.00,9.88,0,0,0
31,-0.00,0.01,0.00,0.04,0.04,9.84,0,0,0
32,-0.00,0.01,0.01,-0.07,-0.03,9.92,0,0,0
33,-0.01,-0.00,0.00,-0.03,-0.12,9.82,0,0,0
34,-0.01,0.00,0.01,0.07,-0.22,9.72,0,0,0
35,0.00,0.00,0.01,0.06,-0.26,9.78,0,0,0
36,0.01,0.00,0.00,0.04,-0.26,9.80,0,0,0
37,-0.00,0.01,0.01,0.07,-0.11,9.82,0,0,0
38,-0.00,0.01,0.00,0.06,-0.22,9.84,0,0,0
39,0.00,0.01,0.00,-0.03,-0.15,9.79,0,0,0
40,-0.00,0.01,0.00,0.01,-0.17,9.80,0,0,0
41,0.00,0.01,0.01,-0.00,-0.17,9.79,0,0,0
42,0.00,0.01,0.00,-0.00,-0.19,9.82,0,0,0
43,0.00,0.00,0.01,0.05,-0.11,9.86,0,0,0
44,0.00,-0.00,0.01,0.11,-0.11,9.80,0,0,0
45,0.00,0.00,0.00,0.11,-0.09,9.82,0,0,0
46,0.00,0.00,0.00,0.10,-0.04,9.75,0,0,0
47,-0.00,0.01,0.00,0.12,-0.03,9.76,0,0,0
48,-0.00,0.01,0.00,0.04,-0.02,9.91,0,0,0
49,-0.00,0.01,0.00,0.03,-0.05,9.90,0,0,0
50,-0.00,0.01,0.01,0.03,-0.14,9.97,0,0,0
51,-0.00,0.00,0.01,0.10,-0.20,9.78,0,0,0
52,0.00,0.00,0.00,0.10,-0.27,9.77,0,0,0
