Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.00,-0.00,0.00,0.02,0.01,9.81,0,0,0
1,-0.00,-0.00,-0.00,0.00,0.00,9.82,0,0,0
2,-0.00,-0.00,-0.00,-0.04,0.01,9.83,0,0,0
3,0.00,-0.00,0.00,0.07,-0.01,9.77,0,0,0
4,-0.00,-0.00,-0.00,0.05,0.03,9.78,0,0,0
5,-0.00,-0.00,-0.00,0.04,0.05,9.77,0,0,0
6,-0.00,-0.00,0.00,0.07,0.10,9.78,0,0,0
7,-0.00,-0.00,0.00,0.07,0.07,9.77,0,0,0
8,-0.00,-0.00,0.00,0.03,0.03,9.84,0,0,0
9,-0.00,-0.00,0.00,0.06,0.07,9.76,0,0,0
10,-0.01,-0.00,0.00,0.09,0.09,9.78,0,0,0
11,-0.01,-0.00,0.00,0.09,0.08,9.69,0,0,0
12,-0.01,0.00,0.00,0.04,0.08,9.76,0,0,0
13,-0.01,0.00,0.00,0.09,0.05,9.80,0,0,0
14,-0.00,0.00,-0.00,0.03,0.00,9.74,0,0,0
15,-0.00,0.00,0.00,-0.01,0.05,9.80,0,0,0
16,-0.00,0.00,0.00,0.01,0.00,9.73,0,0,0
17,-0.00,-0.00,0.00,-0.05,0.00,9.72,0,0,0
18,-0.00,0.00,0.00,-0.02,0.05,9.79,0,0,0
19,0.00,0.00,0.00,-0.01,0.04,9.79,0,0,0
20,0.00,0.00,-0.00,0.00,0.06,9.74,0,0,0
21,-0.00,0.00,-0.00,-0.11,0.08,9.82,0,0,0
22,-0.00,-0.00,0.00,-0.03,0.14,9.69,0,0,0
23,-0.00,-0.00,0.00,-0.04,0.11,9.79,0,0,0
24,-0.00,-0.00,0.00,-0.02,0.12,9.74,0,0,0
25,-0.01,-0.00,0.00,0.02,0.08,9.77,0,0,0
26,-0.01,-0.00,0.00,0.10,0.02,9.69,0,0,0
27,-0.01,-0.00,0.00,0.11,-0.04,9.84,0,0,0
28,-0.00,0.00,0.00,0.08,-0.12,9.82,0,0,0
29,-0.00,0.00,-0.00,0.14,-0.02,9.75,0,0,0
30,0.00,0.00,0.00,0.02,0.03,9.80,0,0,0
31,-0.00,0.01,0.00,-0.03,0.05,9.77,0,0,0
32,0.00,0.01,0.00,-0.08,0.12,9.75,0,0,0
33,-0.00,0.00,0.00,-0.08,0.18,9.77,0,0,0
34,-0.00,0.00,0.00,-0.10,0.11,9.73,0,0,0
35,-0.01,-0.00,-0.00,-0.02,0.11,9.82,0,0,0
36,-0.01,-0.00,0.00,-0.05,0.10,9.72,0,0,0
37,-0.01,-0.00,0.00,-0.00,0.09,9.76,0,0,0
38,-0.01,-0.00,0.00,0.12,-0.02,9.78,0,0,0
39,-0.01,-0.00,0.00,0.14,-0.03,9.64,0,0,0
40,-0.00,0.00,0.00,0.11,-0.02,9.81,0,0,0
41,0.00,0.01,0.00,0.07,-0.04,9.77,0,0,0
42,0.00,0.01,0.00,0.07,0.02,9.81,0,0,0
43,0.00,0.00,0.00,-0.03,0.05,9.77,0,0,0
44,0.00,0.00,0.00,-0.04,0.10,9.70,0,0,0
45,-0.00,0.00,0.00,-0.07,0.07,9.74,0,0,0
46,-0.00,0.00,0.00,-0.05,0.12,9.74,0,0,0
47,-0.00,0.00,0.00,-0.03,0.06,9.78,0,0,0
48,-0.01,0.00,0.00,-0.04,0.05,9.76,0,0,0
49,-0.01,-0.00,0.00,0.01,0.03,9.74,0,0,0
50,-0.01,-0.00,0.00,-0.01,0.07,9.73,0,0,0
51,-0.00,-0.00,0.00,0.01,0.02,9.77,0,0,0
52,-0.00,0.00,0.00,-0.03,-0.03,9.77,0,0,0
53,-0.00,-0.00,-0.00,0.02,0.05,9.78,0,0,0
54,-0.00,0.00,0.00,0.03,0.01,9.73,0,0,0
55,-0.00,-0.00,0.00,0.03,-0.00,9.79,0,0,0
56,-0.00,-0.00,0.00,0.04,0.01,9.73,0,0,0
57,-0.00,0.00,0.00,0.09,0.01,9.75,0,0,0
58,-0.00,0.00,0.00,0.07,0.03,9.74,0,0,0
59,-0.00,0.01,0.00,0.05,0.04,9.79,0,0,0
60,0.00,0.01,0.00,0.04,-0.02,9.72,0,0,0
61,0.00,0.01,0.00,0.03,0.10,9.74,0,0,0
62,-0.00,0.01,0.00,0.01,0.02,9.74,0,0,0
63,-0.00,0.01,0.00,-0.05,0.06,9.75,0,0,0
64,-0.00,0.00,0.00,-0.02,0.03,9.77,0,0,0
65,-0.00,0.00,0.00,-0.06,0.03,9.76,0,0,0
66,-0.00,0.00,0.00,-0.04,0.07,9.73,0,0,0
67,0.00,0.00,0.00,-0.05,0.03,9.71,0,0,0
68,-0.00,0.00,0.00,-0.06,0.07,9.75,0,0,0
69,-0.00,-0.00,0.00,-0.05,0.10,9.67,0,0,0
70,-0.00,-0.00,-0.00,-0.01,0.03,9.81,0,0,0
71,-0.00,-0.00,-0.00,0.08,0.04,9.80,0,0,0
72,-0.00,-0.00,0.00,0.11,0.03,9.77,0,0,0
73,-0.00,-0.00,0.00,0.13,0.04,9.70,0,0,0
74,-0.00,-0.00,0.00,0.07,-0.03,9.75,0,0,0
75,-0.00,0.00,0.00,0.11,-0.03,9.80,0,0,0
76,0.00,0.01,0.00,0.01,-0.01,9.74,0,0,0
77,0.00,0.01,0.00,0.00,0.01,9.79,0,0,0
78,0.00,0.01,0.00,0.01,-0.00,9.73,0,0,0
79,0.00,0.00,0.00,-0.01,0.04,9.79,0,0,0
80,0.00,0.01,0.00,-0.00,0.03,9.75,0,0,0
81,0.00,0.00,0.00,-0.06,0.08,9.73,0,0,0
82,-0.00,0.00,0.00,-0.01,0.07,9.82,0,0,0
83,-0.00,-0.00,0.00,-0.08,0.11,9.77,0,0,0
84,-0.00,-0.00,-0.00,-0.00,0.11,9.78,0,0,0
85,-0.00,-0.00,0.00,0.00,0.06,9.80,0,0,0
86,-0.01,-0.00,0.00,0.02,0.06,9.71,0,0,0
87,-0.01,-0.00,0.00,0.04,-0.02,9.76,0,0,0
88,-0.00,0.00,0.00,0.11,0.04,9.74,0,0,0
89,-0.00,-0.00,0.00,0.04,-0.04,9.70,0,0,0
90,-0.00,-0.00,0.00,0.07,-0.02,9.71,0,0,0
91,0.00,0.00,0.00,0.02,0.05,9.77,0,0,0
92,0.00,0.00,0.00,0.03,-0.00,9.75,0,0,0
93,0.00,0.00,0.00,0.05,0.08,9.68,0,0,0
94,-0.00,0.01,0.00,0.01,0.06,9.82,0,0,0
95,-0.00,0.00,-0.00,-0.08,0.08,9.76,0,0,0
96,-0.00,-0.00,0.00,-0.04,0.08,9.82,0,0,0
97,-0.00,-0.00,0.00,-0.05,0.07,9.75,0,0,0
98,-0.00,-0.00,-0.00,-0.06,0.05,9.71,0,0,0
99,-0.00,-0.00,-0.00,-0.02,0.07,9.80,0,0,0
100,-0.00,-0.00,0.00,0.05,0.05,9.75,0,0,0
101,-0.00,-0.00,0.00,0.05,-0.02,9.81,0,0,0
102,-0.00,-0.00,-0.00,0.11,0.09,9.76,0,0,0
103,0.00,0.00,0.00,0.06,0.02,9.74,0,0,0
104,-0.00,0.00,-0.00,0.07,0.05,9.80,0,0,0
105,0.00,0.01,0.00,0.06,0.03,9.76,0,0,0
106,-0.00,0.01,0.00,-0.00,0.06,9.84,0,0,0
107,0.00,0.01,0.00,0.04,0.02,9.76,0,0,0
108,-0.00,0.01,0.00,-0.08,0.02,9.75,0,0,0
109,0.00,0.00,0.00,-0.01,0.02,9.72,0,0,0
110,-0.00,0.00,0.00,-0.10,0.04,9.70,0,0,0
111,-0.00,-0.00,0.00,-0.05,0.05,9.78,0,0,0
112,-0.00,-0.00,0.00,-0.03,0.08,9.72,0,0,0
113,0.00,-0.00,-0.00,0.01,0.09,9.78,0,0,0
114,-0.00,-0.00,-0.00,0.07,0.07,9.73,0,0,0
115,-0.00,-0.00,0.00,0.05,0.08,9.79,0,0,0
116,-0.00,-0.00,0.00,0.07,0.07,9.83,0,0,0
117,-0.00,-0.00,0.00,0.09,0.05,9.80,0,0,0
118,-0.00,-0.00,-0.00,0.08,0.00,9.74,0,0,0
119,-0.00,0.00,0.00,0.10,0.04,9.78,0,0,0
120,-0.00,0.00,0.00,0.06,0.01,9.77,0,0,0
121,-0.00,0.01,0.00,0.02,0.05,9.76,0,0,0
122,0.00,0.00,-0.00,-0.00,0.00,9.77,0,0,0
123,0.00,0.00,0.00,-0.00,0.01,9.78,0,0,0
124,0.00,0.00,0.00,-0.01,0.04,9.71,0,0,0
125,0.00,0.00,0.00,-0.05,0.09,9.78,0,0,0
126,0.00,0.00,0.00,-0.04,0.17,9.84,0,0,0
127,-0.00,0.00,0.00,-0.06,0.09,9.71,0,0,0
128,0.00,0.00,0.00,-0.05,0.08,9.78,0,0,0
129,-0.00,0.00,0.00,0.00,0.08,9.73,0,0,0
130,-0.01,-0.00,0.00,-0.02,0.07,9.75,0,0,0
131,-0.00,0.00,0.00,-0.01,0.03,9.81,0,0,0
132,-0.00,-0.00,-0.00,0.03,0.02,9.76,0,0,0
133,-0.00,-0.00,0.00,0.00,-0.04,9.80,0,0,0
134,-0.00,-0.00,0.00,0.04,0.02,9.80,0,0,0
135,-0.00,0.00,0.00,0.08,-0.01,9.73,0,0,0
136,0.00,0.00,0.00,0.07,0.01,9.74,0,0,0
137,0.00,0.00,0.00,0.06,0.00,9.78,0,0,0
138,0.00,0.00,0.00,0.02,0.02,9.75,0,0,0
139,0.00,0.00,0.00,-0.02,0.04,9.71,0,0,0
140,-0.00,0.00,-0.00,-0.02,0.11,9.78,0,0,0
141,-0.00,0.00,0.00,-0.05,0.09,9.75,0,0,0
142,-0.00,0.00,0.00,-0.08,0.06,9.75,0,0,0
143,-0.00,0.00,0.00,-0.05,0.02,9.75,0,0,0
144,-0.00,0.00,0.00,-0.06,0.02,9.75,0,0,0
145,-0.00,-0.00,0.00,-0.05,0.01,9.68,0,0,0
146,0.00,-0.01,0.00,0.00,0.10,9.78,0,0,0
147,-0.00,-0.00,-0.00,0.02,-0.01,9.84,0,0,0
148,-0.00,-0.00,-0.00,0.05,0.04,9.72,0,0,0
149,-0.00,0.00,0.00,0.09,0.06,9.79,0,0,0
150,0.00,0.00,0.00,0.11,0.01,9.80,0,0,0
151,-0.00,0.01,0.00,0.04,-0.00,9.70,0,0,0
152,-0.00,0.00,0.00,0.04,0.07,9.71,0,0,0
153,0.00,0.01,0.01,0.01,0.06,9.68,0,0,0
154,0.00,0.00,0.00,-0.01,0.02,9.79,0,0,0
155,0.00,0.00,0.00,-0.01,0.10,9.84,0,0,0
156,-0.00,-0.00,0.00,-0.03,0.04,9.76,0,0,0
157,-0.00,0.00,-0.00,0.01,0.11,9.73,0,0,0
158,-0.00,0.00,0.00,-0.09,0.04,9.78,0,0,0
159,-0.00,-0.00,-0.00,0.02,0.09,9.84,0,0,0
160,-0.00,0.00,0.00,0.04,0.05,9.76,0,0,0
161,-0.00,0.00,0.00,0.02,-0.01,9.82,0,0,0
162,-0.00,0.00,0.00,0.00,-0.01,9.74,0,0,0
163,-0.00,0.00,0.00,0.03,-0.02,9.75,0,0,0
164,0.00,0.00,0.00,0.07,0.01,9.72,0,0,0
165,0.00,0.00,0.00,0.03,-0.01,9.81,0,0,0
166,-0.00,0.00,0.00,0.01,0.05,9.83,0,0,0
167,0.00,0.00,-0.00,-0.01,0.03,9.74,0,0,0
168,0.00,0.00,0.00,-0.04,0.06,9.74,0,0,0
169,-0.00,0.00,-0.00,0.00,0.11,9.74,0,0,0
170,-0.00,0.00,0.00,-0.04,0.07,9.84,0,0,0
171,0.00,0.00,0.00,-0.04,0.08,9.74,0,0,0
172,-0.00,0.00,0.00,-0.01,0.11,9.77,0,0,0
173,-0.00,-0.00,0.00,0.01,0.05,9.76,0,0,0
174,-0.00,-0.00,0.00,-0.02,0.05,9.82,0,0,0
175,-0.00,-0.00,-0.00,-0.02,0.01,9.81,0,0,0
176,-0.00,-0.00,0.00,-0.05,0.02,9.72,0,0,0
177,-0.00,-0.00,0.00,0.02,-0.00,9.76,0,0,0
178,-0.00,-0.00,0.00,0.00,0.01,9.77,0,0,0
