Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.05,0.04,-0.00,-0.34,0.20,9.82,0,0,0
1,-0.05,0.04,-0.00,-0.31,0.14,9.82,0,0,0
2,-0.05,0.04,-0.00,-0.45,0.11,9.90,0,0,0
3,-0.05,0.04,-0.01,-0.54,0.11,9.63,0,0,0
4,-0.05,0.04,-0.00,-0.51,0.10,9.69,0,0,0
5,-0.04,0.03,-0.00,-0.41,0.00,9.69,0,0,0
6,-0.04,0.03,-0.01,-0.40,-0.07,9.80,0,0,0
7,-0.03,0.03,-0.00,-0.38,-0.07,9.73,0,0,0
8,-0.02,0.04,-0.00,-0.45,-0.10,9.70,0,0,0
9,-0.02,0.03,0.00,-0.51,-0.00,9.73,0,0,0
10,-0.02,0.03,0.00,-0.51,0.05,9.78,0,0,0
11,-0.02,0.02,0.00,-0.43,0.10,9.85,0,0,0
12,-0.02,0.01,-0.00,-0.41,0.00,9.88,0,0,0
13,-0.02,0.01,-0.00,-0.31,0.11,9.87,0,0,0
14,-0.03,0.02,-0.00,-0.28,0.18,9.76,0,0,0
15,-0.03,0.02,-0.00,-0.20,0.27,9.81,0,0,0
16,-0.04,0.03,-0.01,-0.17,0.13,9.86,0,0,0
17,-0.04,0.04,-0.00,-0.28,0.23,9.86,0,0,0
18,-0.05,0.04,-0.00,-0.42,0.18,9.80,0,0,0
19,-0.05,0.04,-0.00,-0.37,0.06,9.81,0,0,0
20,-0.04,0.04,-0.00,-0.49,0.03,9.74,0,0,0
21,-0.04,0.04,-0.00,-0.54,0.05,9.74,0,0,0
22,-0.03,0.03,-0.00,-0.47,0.00,9.70,0,0,0
23,-0.03,0.02,-0.00,-0.40,-0.01,9.83,0,0,0
24,-0.02,0.01,-0.00,-0.36,0.05,9.83,0,0,0
25,-0.03,0.01,-0.00,-0.25,0.14,9.85,0,0,0
