Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,12.87,0.21,-4.90,-66.73,96.85,-7.14,0,0,0
1,0.34,0.21,-4.76,30.12,96.85,-34.45,0,0,0
2,0.34,0.21,-4.76,-107.16,96.85,-34.45,0,0,0
3,0.34,0.21,-4.76,-54.44,96.85,-34.45,0,0,0
4,0.34,0.21,-4.76,-32.37,96.85,-34.45,0,0,0
5,0.34,0.21,-4.76,-9.08,96.85,-34.45,0,0,0
6,0.34,0.21,-4.76,10.54,96.85,-34.45,0,0,0
7,0.34,0.21,-4.76,194.43,96.85,-34.45,0,0,0
8,0.34,0.21,-4.76,-39.70,96.85,-34.45,0,0,0
9,-0.00,0.00,-0.00,49.83,96.85,9.81,0,0,0
10,-32.62,0.21,-4.76,-23.69,96.85,34.17,0,0,0
11,-0.00,0.00,-0.00,-43.26,96.85,9.81,0,0,0
12,-31.81,0.21,-4.76,46.28,96.85,63.59,0,0,0
13,-32.62,0.21,-4.76,0.96,96.85,34.17,0,0,0
14,32.20,-0.27,-3.81,42.69,96.85,-107.95,0,0,0
15,-32.62,0.21,-4.76,48.87,96.85,34.17,0,0,0
16,27.04,0.21,-4.76,108.97,96.85,-14.86,0,0,0
17,-0.00,0.00,-0.00,123.72,96.85,9.81,0,0,0
18,27.04,0.21,-4.76,176.48,96.85,-14.86,0,0,0
19,27.04,0.21,-4.76,149.55,96.85,-14.86,0,0,0
20,27.04,0.21,-4.76,161.85,96.85,-14.86,0,0,0
21,-32.62,0.21,-4.76,-99.21,96.85,34.17,0,0,0
22,-0.00,0.00,-0.00,187.67,96.85,9.81,0,0,0
23,-16.55,0.21,-4.76,-95.45,96.85,-14.85,0,0,0
24,-0.00,0.00,-0.00,-43.92,96.85,9.81,0,0,0
25,-0.00,0.00,-0.00,62.77,96.85,9.81,0,0,0
26,13.96,0.21,-4.76,78.75,96.85,-171.74,0,0,0
27,13.96,0.21,-4.76,129.05,96.85,-171.74,0,0,0
28,21.32,0.21,-4.76,-105.02,96.85,93.04,0,0,0
29,21.32,0.21,-4.76,58.06,96.85,93.04,0,0,0
30,21.32,0.21,-4.76,15.19,96.85,93.04,0,0,0
31,21.32,0.21,-4.76,108.40,96.85,93.04,0,0,0
