Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.00,0.00,0.01,0.39,-0.11,9.77,0,0,0
1,0.01,0.01,0.00,0.38,-0.08,9.79,0,0,0
2,0.01,0.01,-0.00,0.40,-0.08,9.78,0,0,0
3,0.01,0.02,-0.01,0.38,-0.05,9.77,0,0,0
4,0.01,0.02,-0.02,0.34,0.01,9.78,0,0,0
5,0.00,0.02,-0.02,0.31,0.01,9.75,0,0,0
6,-0.00,0.02,-0.02,0.29,-0.00,9.74,0,0,0
7,-0.00,0.02,-0.02,0.29,-0.01,9.74,0,0,0
8,-0.01,0.01,-0.01,0.30,-0.03,9.75,0,0,0
9,-0.01,0.01,-0.01,0.33,-0.08,9.78,0,0,0
10,-0.01,0.01,0.00,0.35,-0.10,9.77,0,0,0
11,-0.01,0.02,0.01,0.35,-0.10,9.79,0,0,0
12,-0.01,0.02,0.02,0.33,-0.09,9.72,0,0,0
13,-0.01,0.02,0.03,0.31,-0.08,9.69,0,0,0
14,-0.00,0.02,0.03,0.29,-0.11,9.68,0,0,0
15,0.00,0.02,0.04,0.31,-0.12,9.76,0,0,0
16,0.00,0.02,0.04,0.32,-0.11,9.73,0,0,0
17,-0.01,0.01,0.03,0.26,-0.10,9.73,0,0,0
18,-0.02,0.00,0.03,0.29,-0.14,9.73,0,0,0
19,-0.01,0.00,0.02,0.35,-0.15,9.78,0,0,0
20,0.00,0.00,0.00,0.37,-0.11,9.83,0,0,0
21,0.01,0.01,-0.02,0.36,-0.10,9.78,0,0,0
22,0.00,0.01,-0.03,0.31,-0.06,9.71,0,0,0
23,0.01,0.02,-0.03,0.30,-0.09,9.72,0,0,0
24,0.01,0.02,-0.01,0.30,-0.06,9.74,0,0,0
25,0.01,0.02,0.00,0.30,-0.08,9.76,0,0,0
