Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.02,-0.04,-0.01,-0.04,-0.32,9.87,0,0,0
1,-0.01,-0.04,-0.01,0.01,-0.29,9.89,0,0,0
2,-0.01,-0.04,-0.02,-0.01,-0.30,9.84,0,0,0
3,-0.01,-0.03,-0.03,0.00,-0.25,9.74,0,0,0
4,-0.02,-0.02,-0.03,0.01,-0.11,9.81,0,0,0
5,-0.04,-0.01,-0.03,0.07,-0.01,9.84,0,0,0
6,-0.05,0.01,-0.03,0.05,0.01,9.79,0,0,0
7,-0.06,0.01,-0.03,0.03,0.06,9.78,0,0,0
8,-0.06,0.01,-0.04,0.07,0.06,9.75,0,0,0
9,-0.06,0.02,-0.03,0.15,0.00,9.75,0,0,0
10,-0.05,0.02,-0.02,0.09,-0.12,9.78,0,0,0
11,-0.03,0.01,-0.01,0.16,-0.16,9.78,0,0,0
12,-0.01,0.01,-0.00,0.09,-0.18,9.74,0,0,0
13,0.00,0.01,0.00,0.11,-0.21,9.78,0,0,0
14,0.02,0.02,0.01,0.07,-0.12,9.84,0,0,0
15,0.01,0.03,0.01,0.08,0.04,10.01,0,0,0
16,-0.02,0.04,0.00,0.05,0.10,10.00,0,0,0
17,-0.04,0.04,0.00,0.01,0.09,10.05,0,0,0
18,-0.01,0.02,0.01,-0.02,-0.00,10.17,0,0,0
19,0.01,-0.00,0.00,0.04,-0.04,10.14,0,0,0
20,0.02,-0.02,0.00,-0.03,-0.05,10.06,0,0,0
21,0.01,-0.02,-0.00,-0.02,-0.04,10.16,0,0,0
22,-0.03,-0.03,-0.01,0.00,-0.06,9.98,0,0,0
23,-0.05,-0.02,-0.02,0.03,-0.12,9.95,0,0,0
24,-0.04,-0.01,-0.01,0.00,-0.15,9.89,0,0,0
25,-0.05,-0.02,-0.01,0.04,-0.06,9.75,0,0,0
26,-0.04,-0.01,-0.02,0.09,-0.17,9.73,0,0,0
27,-0.03,-0.01,-0.01,0.05,-0.14,9.64,0,0,0
28,-0.02,0.01,-0.01,0.12,-0.05,9.74,0,0,0
29,0.00,0.03,0.00,0.06,-0.02,9.67,0,0,0
30,0.01,0.03,0.02,0.06,0.01,9.82,0,0,0
31,0.01,0.03,0.02,0.05,0.01,9.92,0,0,0
32,0.01,0.03,0.02,0.00,0.02,10.03,0,0,0
33,0.02,0.03,0.02,-0.02,-0.08,10.08,0,0,0
34,0.01,0.02,0.03,0.03,-0.07,10.07,0,0,0
35,-0.01,0.01,0.02,-0.07,-0.09,10.09,0,0,0
36,-0.02,0.00,0.01,-0.08,-0.00,10.11,0,0,0
37,-0.04,-0.00,-0.00,0.05,-0.03,10.15,0,0,0
38,-0.05,-0.01,-0.01,0.02,-0.09,9.97,0,0,0
39,-0.05,-0.02,-0.01,0.01,-0.06,10.01,0,0,0
40,-0.01,-0.01,-0.00,0.10,-0.04,9.83,0,0,0
41,-0.00,-0.01,0.01,0.04,-0.11,9.86,0,0,0
42,0.01,-0.01,0.01,0.00,-0.19,9.85,0,0,0
43,0.01,0.00,0.01,0.01,-0.20,9.91,0,0,0
44,0.00,0.01,0.01,0.03,-0.13,9.86,0,0,0
45,-0.01,0.02,-0.00,0.02,-0.09,9.90,0,0,0
46,0.00,-0.00,-0.01,0.00,-0.11,10.03,0,0,0
47,-0.00,-0.00,-0.01,0.04,-0.03,10.06,0,0,0
48,-0.03,-0.00,-0.01,0.02,0.06,10.03,0,0,0
