Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.00,0.04,0.02,0.07,0.10,9.69,0,0,0
1,-0.00,0.04,0.02,0.01,0.12,9.67,0,0,0
2,-0.01,0.04,0.02,-0.06,0.11,9.60,0,0,0
3,-0.01,0.04,0.02,0.01,0.11,9.67,0,0,0
4,-0.02,0.04,0.02,0.05,0.15,9.76,0,0,0
5,-0.02,0.03,0.02,-0.02,0.07,9.66,0,0,0
6,-0.02,0.03,0.02,0.00,0.11,9.66,0,0,0
7,-0.02,0.03,0.02,0.06,0.12,9.66,0,0,0
8,-0.02,0.03,0.02,0.04,0.02,9.61,0,0,0
9,-0.02,0.03,0.02,0.04,0.01,9.61,0,0,0
10,-0.02,0.03,0.02,0.04,0.03,9.61,0,0,0
11,-0.02,0.03,0.02,0.10,0.02,9.67,0,0,0
12,-0.01,0.03,0.02,0.06,-0.00,9.67,0,0,0
13,-0.01,0.03,0.02,0.12,0.00,9.65,0,0,0
14,-0.01,0.04,0.02,0.16,0.05,9.70,0,0,0
15,-0.00,0.04,0.02,0.11,0.04,9.66,0,0,0
16,-0.00,0.04,0.02,-0.00,0.12,9.63,0,0,0
17,-0.01,0.04,0.02,0.07,0.11,9.65,0,0,0
18,-0.01,0.04,0.02,0.07,0.12,9.62,0,0,0
19,-0.01,0.03,0.02,0.03,0.11,9.66,0,0,0
20,-0.02,0.03,0.02,0.02,0.06,9.69,0,0,0
21,-0.01,0.03,0.02,0.06,0.08,9.69,0,0,0
22,-0.01,0.03,0.02,0.06,0.07,9.65,0,0,0
23,-0.01,0.04,0.02,0.11,0.04,9.62,0,0,0
24,-0.01,0.04,0.02,0.07,0.02,9.70,0,0,0
25,-0.01,0.04,0.02,0.07,0.08,9.62,0,0,0
26,-0.01,0.04,0.02,0.09,0.02,9.71,0,0,0
27,-0.01,0.04,0.02,0.06,0.07,9.61,0,0,0
28,-0.01,0.04,0.02,0.09,0.10,9.68,0,0,0
29,-0.01,0.04,0.02,0.01,0.11,9.61,0,0,0
30,-0.01,0.03,0.02,0.05,0.04,9.73,0,0,0
31,-0.02,0.03,0.02,0.00,0.10,9.66,0,0,0
32,-0.02,0.03,0.02,0.04,0.05,9.62,0,0,0
33,-0.02,0.03,0.02,0.10,0.11,9.66,0,0,0
34,-0.02,0.03,0.02,0.15,0.03,9.60,0,0,0
35,-0.01,0.03,0.02,0.11,-0.02,9.57,0,0,0
36,-0.01,0.04,0.02,0.12,0.01,9.66,0,0,0
37,-0.01,0.04,0.02,0.10,0.04,9.57,0,0,0
38,-0.01,0.04,0.02,0.09,0.07,9.64,0,0,0
39,-0.01,0.04,0.02,0.05,0.04,9.70,0,0,0
40,-0.01,0.04,0.02,0.00,0.08,9.69,0,0,0
41,-0.01,0.03,0.02,0.04,0.05,9.70,0,0,0
42,-0.01,0.03,0.02,0.03,0.15,9.64,0,0,0
43,-0.01,0.03,0.02,0.08,0.13,9.73,0,0,0
44,-0.02,0.03,0.02,0.06,0.08,9.64,0,0,0
45,-0.01,0.03,0.02,0.08,0.08,9.64,0,0,0
46,-0.01,0.03,0.02,0.05,0.02,9.63,0,0,0
47,-0.01,0.04,0.02,0.08,0.06,9.62,0,0,0
48,-0.01,0.04,0.02,0.07,0.05,9.64,0,0,0
49,-0.01,0.04,0.02,0.10,0.04,9.71,0,0,0
50,-0.01,0.04,0.02,0.06,0.05,9.59,0,0,0
51,-0.01,0.05,0.02,0.05,0.06,9.66,0,0,0
52,-0.01,0.04,0.02,0.09,0.11,9.66,0,0,0
53,-0.01,0.04,0.02,0.05,0.11,9.70,0,0,0
54,-0.01,0.04,0.02,0.09,0.11,9.71,0,0,0
55,-0.01,0.03,0.02,0.00,0.10,9.70,0,0,0
56,-0.02,0.03,0.02,0.08,0.11,9.76,0,0,0
57,-0.02,0.03,0.02,0.04,0.06,9.65,0,0,0
58,-0.02,0.03,0.02,0.04,0.01,9.61,0,0,0
59,-0.01,0.03,0.02,0.03,0.00,9.54,0,0,0
60,-0.01,0.03,0.02,0.15,0.02,9.64,0,0,0
61,-0.01,0.03,0.02,0.10,0.00,9.63,0,0,0
62,-0.00,0.04,0.02,-0.03,0.02,9.50,0,0,0
63,-0.00,0.04,0.02,0.03,0.06,9.67,0,0,0
64,-0.00,0.04,0.02,0.09,0.09,9.64,0,0,0
65,-0.01,0.04,0.02,0.02,0.10,9.67,0,0,0
66,-0.01,0.03,0.02,0.06,0.12,9.72,0,0,0
67,-0.01,0.03,0.02,0.09,0.10,9.60,0,0,0
68,-0.02,0.03,0.02,0.07,0.07,9.64,0,0,0
69,-0.02,0.03,0.02,0.11,0.06,9.62,0,0,0
70,-0.01,0.03,0.02,0.07,0.02,9.62,0,0,0
71,-0.01,0.04,0.02,0.06,0.03,9.73,0,0,0
72,-0.01,0.04,0.02,0.03,0.03,9.59,0,0,0
73,-0.01,0.04,0.02,0.08,0.02,9.70,0,0,0
74,-0.00,0.04,0.02,0.03,0.03,9.63,0,0,0
75,-0.00,0.04,0.02,0.03,0.07,9.63,0,0,0
76,-0.00,0.04,0.02,0.09,0.10,9.74,0,0,0
77,-0.01,0.04,0.02,0.06,0.12,9.71,0,0,0
78,-0.01,0.04,0.02,0.08,0.11,9.68,0,0,0
79,-0.01,0.03,0.02,0.07,0.12,9.73,0,0,0
80,-0.01,0.03,0.02,0.09,0.14,9.66,0,0,0
81,-0.02,0.03,0.02,0.09,0.05,9.62,0,0,0
82,-0.01,0.03,0.02,0.15,0.06,9.70,0,0,0
83,-0.01,0.03,0.02,0.07,0.06,9.59,0,0,0
84,-0.01,0.03,0.02,0.12,0.07,9.63,0,0,0
85,-0.01,0.04,0.02,0.10,0.08,9.67,0,0,0
86,-0.00,0.04,0.02,0.02,0.05,9.61,0,0,0
87,-0.01,0.05,0.02,0.05,0.08,9.63,0,0,0
88,-0.01,0.05,0.02,0.01,0.12,9.70,0,0,0
89,-0.01,0.04,0.02,0.00,0.12,9.67,0,0,0
90,-0.01,0.04,0.02,0.03,0.07,9.75,0,0,0
91,-0.01,0.03,0.02,0.05,0.05,9.66,0,0,0
92,-0.01,0.03,0.02,0.08,0.14,9.63,0,0,0
93,-0.01,0.03,0.02,0.05,0.10,9.59,0,0,0
94,-0.01,0.03,0.02,0.09,0.01,9.72,0,0,0
95,-0.01,0.03,0.02,0.11,0.02,9.62,0,0,0
