Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.01,0.00,0.00,-0.04,0.02,9.87,0,0,0
1,0.02,0.00,0.00,-0.04,-0.00,9.85,0,0,0
2,0.02,-0.00,0.00,-0.09,-0.00,9.87,0,0,0
3,0.03,-0.00,0.00,-0.11,0.07,9.88,0,0,0
4,0.03,-0.00,-0.00,-0.10,0.04,9.92,0,0,0
5,0.02,-0.00,0.00,-0.08,0.15,9.87,0,0,0
6,0.02,-0.00,-0.00,-0.04,0.15,9.87,0,0,0
7,0.02,-0.00,0.00,-0.07,0.21,9.94,0,0,0
8,0.01,0.00,0.00,-0.08,0.18,9.95,0,0,0
9,0.01,0.00,0.00,-0.04,0.17,9.83,0,0,0
10,0.00,0.00,0.00,-0.04,0.08,9.92,0,0,0
11,-0.00,-0.00,0.00,-0.08,0.14,9.86,0,0,0
12,-0.01,0.00,0.00,-0.03,0.12,9.80,0,0,0
13,-0.00,0.00,0.00,0.03,0.11,9.87,0,0,0
14,-0.01,-0.00,0.00,-0.07,0.00,9.86,0,0,0
15,-0.00,0.00,0.00,-0.08,-0.03,9.83,0,0,0
16,0.01,-0.00,0.00,-0.00,-0.06,9.75,0,0,0
17,0.02,-0.00,0.00,-0.03,-0.06,9.82,0,0,0
18,0.02,-0.00,0.00,-0.08,0.01,9.86,0,0,0
19,0.03,-0.00,-0.00,-0.04,0.13,9.81,0,0,0
20,0.02,-0.00,0.00,-0.03,0.14,9.92,0,0,0
21,0.02,-0.00,0.00,-0.09,0.18,9.86,0,0,0
22,0.01,0.00,0.00,-0.03,0.19,9.82,0,0,0
23,0.00,-0.00,0.00,-0.09,0.16,9.86,0,0,0
24,-0.00,0.00,0.00,-0.02,0.11,9.96,0,0,0
25,-0.01,-0.00,0.00,-0.00,0.08,9.79,0,0,0
26,-0.00,0.00,0.00,-0.05,-0.00,9.90,0,0,0
27,0.01,0.00,0.00,-0.09,-0.07,9.75,0,0,0
28,0.02,0.00,0.00,-0.05,-0.04,9.81,0,0,0
29,0.02,0.00,0.00,-0.08,0.02,9.78,0,0,0
30,0.03,-0.00,0.00,-0.06,0.17,9.77,0,0,0
31,0.02,-0.00,0.00,-0.06,0.14,9.88,0,0,0
32,0.01,-0.00,0.00,-0.11,0.20,9.81,0,0,0
33,0.01,-0.00,0.00,-0.02,0.19,9.90,0,0,0
34,0.00,-0.00,0.00,-0.03,0.18,9.89,0,0,0
35,-0.00,0.00,0.00,-0.01,0.08,9.84,0,0,0
36,-0.01,-0.00,0.00,-0.01,0.06,9.85,0,0,0
37,0.00,0.00,0.00,-0.10,-0.01,9.92,0,0,0
38,0.01,0.00,0.00,-0.09,-0.04,9.82,0,0,0
39,0.02,-0.00,0.00,-0.07,-0.03,9.85,0,0,0
40,0.02,-0.00,0.00,-0.03,0.06,9.80,0,0,0
41,0.02,-0.00,0.00,-0.04,0.14,9.91,0,0,0
42,0.02,0.00,0.00,-0.11,0.14,9.94,0,0,0
43,0.01,-0.00,0.00,-0.07,0.15,9.86,0,0,0
44,0.01,-0.00,0.00,-0.09,0.19,9.89,0,0,0
45,-0.00,-0.00,0.00,-0.12,0.12,9.79,0,0,0
46,-0.00,-0.00,0.00,-0.04,0.03,9.79,0,0,0
47,-0.00,0.00,0.00,-0.05,0.00,9.89,0,0,0
48,0.00,-0.00,0.00,-0.02,-0.01,9.89,0,0,0
49,0.01,-0.00,0.00,-0.04,-0.05,9.86,0,0,0
50,0.02,0.00,-0.00,-0.04,0.03,9.85,0,0,0
51,0.02,-0.00,0.00,-0.06,0.08,9.89,0,0,0
52,0.02,-0.00,0.00,-0.10,0.12,9.83,0,0,0
53,0.02,-0.00,0.00,-0.06,0.15,9.77,0,0,0
54,0.02,-0.00,0.00,-0.10,0.15,9.87,0,0,0
55,0.01,-0.00,0.00,-0.04,0.20,9.90,0,0,0
56,0.00,0.00,0.00,-0.07,0.16,9.84,0,0,0
57,-0.00,0.00,0.00,-0.11,0.11,9.94,0,0,0
58,-0.01,0.00,0.00,-0.04,0.04,9.88,0,0,0
59,0.00,0.01,0.00,-0.08,-0.03,9.85,0,0,0
60,0.01,0.00,0.00,-0.01,-0.07,9.82,0,0,0
61,0.01,0.00,0.00,-0.12,-0.01,9.82,0,0,0
62,0.02,0.00,0.00,-0.05,0.00,9.88,0,0,0
63,0.02,-0.00,0.00,-0.07,0.07,9.92,0,0,0
64,0.02,-0.00,0.00,-0.03,0.08,9.86,0,0,0
65,0.02,-0.00,0.00,-0.04,0.16,9.90,0,0,0
66,0.02,-0.00,0.00,-0.05,0.16,9.91,0,0,0
67,0.01,-0.00,0.00,-0.05,0.18,9.86,0,0,0
68,0.00,0.00,0.00,-0.11,0.16,9.92,0,0,0
69,-0.00,-0.00,0.00,-0.08,0.07,9.86,0,0,0
70,-0.00,-0.00,0.00,-0.11,0.06,9.79,0,0,0
71,0.00,-0.00,0.00,-0.04,-0.01,9.86,0,0,0
72,0.01,0.00,0.00,-0.00,-0.03,9.84,0,0,0
73,0.02,0.00,-0.00,-0.03,0.00,9.85,0,0,0
74,0.02,0.00,0.00,-0.01,0.07,9.87,0,0,0
75,0.02,-0.00,-0.00,-0.03,0.08,9.81,0,0,0
76,0.02,0.00,0.00,-0.10,0.12,9.97,0,0,0
77,0.01,-0.00,0.00,-0.10,0.17,9.94,0,0,0
78,0.01,-0.00,0.00,-0.11,0.18,9.87,0,0,0
79,-0.00,0.00,-0.00,-0.11,0.07,9.84,0,0,0
80,0.00,0.00,0.00,-0.06,-0.01,9.82,0,0,0
81,0.01,-0.00,0.00,-0.06,-0.05,9.78,0,0,0
82,0.01,0.00,0.00,0.00,-0.03,9.80,0,0,0
83,0.02,0.00,0.00,-0.06,0.02,9.87,0,0,0
84,0.02,-0.00,-0.00,-0.05,0.03,9.80,0,0,0
85,0.02,-0.00,0.00,-0.08,0.11,9.93,0,0,0
86,0.01,0.00,0.00,-0.07,0.13,9.90,0,0,0
87,0.01,0.00,0.00,-0.08,0.13,9.95,0,0,0
88,0.00,0.00,0.00,-0.09,0.11,9.93,0,0,0
89,0.00,0.00,0.00,-0.06,0.11,9.85,0,0,0
90,0.00,0.00,0.00,-0.08,0.03,9.90,0,0,0
91,0.01,-0.00,0.00,-0.03,0.03,9.87,0,0,0
92,0.01,-0.00,0.00,-0.05,-0.01,9.83,0,0,0
93,0.02,-0.00,0.00,-0.05,-0.02,9.78,0,0,0
94,0.02,-0.00,0.00,0.01,0.07,9.87,0,0,0
95,0.02,0.00,0.00,-0.02,0.12,9.81,0,0,0
96,0.02,0.00,0.00,-0.08,0.12,9.97,0,0,0
97,0.02,-0.00,0.00,-0.06,0.13,9.96,0,0,0
98,0.01,0.01,0.00,-0.08,0.15,9.89,0,0,0
99,0.00,-0.00,0.00,-0.02,0.12,9.82,0,0,0
