Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
96,0.09,0.09,0.04,0.40,0.08,9.82,0,0,0
97,0.10,0.08,0.08,0.40,-0.00,9.75,0,0,0
98,0.11,0.08,0.08,0.41,-0.06,9.83,0,0,0
99,0.12,0.09,0.06,0.39,0.05,9.89,0,0,0
100,0.11,0.08,0.03,0.42,0.10,10.01,0,0,0
101,0.10,0.07,0.03,0.45,0.19,10.03,0,0,0
102,0.08,0.06,0.00,0.44,0.10,9.87,0,0,0
103,0.08,0.06,-0.01,0.49,0.10,9.88,0,0,0
104,0.08,0.07,-0.01,0.48,0.11,9.86,0,0,0
105,0.08,0.07,0.01,0.46,0.13,9.83,0,0,0
106,0.08,0.06,0.03,0.52,-0.00,9.87,0,0,0
107,0.09,0.06,0.03,0.56,-0.03,9.83,0,0,0
108,0.10,0.07,0.02,0.54,-0.01,9.90,0,0,0
109,0.10,0.08,0.01,0.47,0.10,9.94,0,0,0
110,0.10,0.07,0.02,0.42,0.16,9.95,0,0,0
111,0.09,0.07,0.03,0.42,0.20,10.01,0,0,0
112,0.08,0.06,0.04,0.37,0.16,10.01,0,0,0
113,0.06,0.05,0.06,0.35,0.11,9.94,0,0,0
114,0.07,0.05,0.04,0.42,0.06,9.73,0,0,0
115,0.09,0.05,0.06,0.40,-0.00,9.80,0,0,0
116,0.09,0.04,0.05,0.42,0.04,9.79,0,0,0
117,0.10,0.04,0.05,0.54,-0.13,9.83,0,0,0
118,0.11,0.05,0.04,0.56,-0.12,9.76,0,0,0
119,0.12,0.06,0.04,0.54,0.05,9.95,0,0,0
120,0.11,0.06,0.04,0.48,0.09,10.02,0,0,0
121,0.09,0.05,0.03,0.47,0.12,10.04,0,0,0
122,0.07,0.05,-0.02,0.58,0.09,9.89,0,0,0
123,0.07,0.05,0.00,0.48,0.12,9.89,0,0,0
124,0.08,0.05,0.00,0.51,-0.02,9.85,0,0,0
125,0.10,0.07,0.02,0.39,0.08,9.59,0,0,0
126,0.10,0.05,-0.03,0.47,0.02,9.83,0,0,0
127,0.11,0.05,-0.01,0.56,0.02,9.78,0,0,0
128,0.12,0.06,-0.01,0.60,0.08,9.95,0,0,0
