Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
91,-0.00,-0.01,0.01,0.11,0.13,9.64,0,0,0
92,-0.01,-0.00,0.00,0.10,0.05,9.65,0,0,0
93,-0.01,-0.00,0.00,0.13,0.01,9.65,0,0,0
94,-0.00,-0.01,0.00,0.17,-0.00,9.62,0,0,0
95,0.00,-0.00,0.01,0.18,-0.12,9.64,0,0,0
96,0.00,-0.01,0.00,0.16,-0.07,9.67,0,0,0
97,0.01,-0.01,0.00,0.23,-0.03,9.65,0,0,0
98,0.01,-0.00,0.01,0.16,-0.01,9.69,0,0,0
99,0.01,-0.00,0.01,0.20,0.02,9.66,0,0,0
100,0.01,-0.00,0.01,0.17,0.03,9.65,0,0,0
101,0.01,-0.00,0.00,0.08,0.13,9.77,0,0,0
102,0.01,-0.01,0.01,0.08,0.12,9.63,0,0,0
103,0.01,-0.01,0.01,0.04,0.14,9.61,0,0,0
104,0.00,-0.01,0.00,0.02,0.15,9.56,0,0,0
105,0.01,-0.01,0.00,0.02,0.11,9.64,0,0,0
106,-0.00,-0.01,0.00,0.09,0.11,9.61,0,0,0
107,-0.00,-0.00,0.01,0.12,0.00,9.65,0,0,0
108,-0.00,-0.01,0.00,0.11,0.02,9.63,0,0,0
109,-0.00,-0.00,0.00,0.20,-0.04,9.61,0,0,0
110,0.00,-0.01,0.00,0.16,-0.01,9.74,0,0,0
111,0.00,-0.01,0.01,0.18,-0.02,9.71,0,0,0
112,0.01,-0.01,0.00,0.21,0.00,9.70,0,0,0
113,0.01,-0.01,0.00,0.15,0.08,9.73,0,0,0
114,0.01,-0.01,0.00,0.15,0.13,9.57,0,0,0
115,0.01,-0.00,0.00,0.14,0.13,9.63,0,0,0
116,0.01,-0.01,0.01,0.10,0.13,9.72,0,0,0
117,0.01,-0.01,0.00,0.12,0.12,9.67,0,0,0
118,0.00,-0.01,0.00,0.04,0.11,9.63,0,0,0
119,0.00,-0.01,0.00,0.04,0.13,9.58,0,0,0
120,-0.00,-0.01,0.01,0.06,0.06,9.66,0,0,0
121,-0.00,-0.01,0.00,0.05,0.12,9.64,0,0,0
122,-0.00,-0.01,0.00,0.07,0.00,9.69,0,0,0
123,0.00,-0.00,0.00,0.09,-0.07,9.59,0,0,0
124,0.00,-0.01,0.00,0.15,0.00,9.74,0,0,0
125,0.00,-0.01,0.01,0.18,-0.03,9.67,0,0,0
